Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 20.4000: (MOVER_TREN T1 E2 E4) [D:2.0000; C:5.0000]
 22.4000: (UNLOAD T1 E4 P4) [D:2.0000; C:0.1000]
 23.0000: (MOVER_FURGONETA F3 D2 A2 E3 CIUDAD2) [D:3.0000; C:4.6667]
 24.4000: (MOVER_TREN T1 E4 E3) [D:2.5000; C:4.0000]
 24.4000: (LOAD F4 E4 P4) [D:2.0000; C:0.1000]
 26.9000: (LOAD T1 E3 P6) [D:4.0000; C:0.1000]
 30.9000: (MOVER_TREN T1 E3 E2) [D:3.0000; C:3.3333]
 33.9000: (UNLOAD T1 E2 P6) [D:4.0000; C:0.1000]
 37.9000: (MOVER_TREN T1 E2 E3) [D:3.0000; C:3.3333]
 37.9000: (LOAD F2 E2 P6) [D:4.0000; C:0.1000]
 40.9000: (UNLOAD T1 E3 P9) [D:4.0000; C:0.1000]
 41.9000: (MOVER_FURGONETA F2 D1 E2 CA1 CIUDAD1) [D:2.4000; C:5.8333]
 44.3000: (UNLOAD F2 CA1 P6) [D:4.0000; C:0.1000]
 44.3000: (UNLOAD F2 CA1 P8) [D:3.0000; C:0.1000]
 44.9000: (LOAD F3 E3 P9) [D:4.0000; C:0.1000]
 48.9000: (MOVER_FURGONETA F3 D2 E3 CA2 CIUDAD2) [D:3.0000; C:4.6667]
 51.9000: (LOAD F3 CA2 P2) [D:3.0000; C:0.1000]
 51.9000: (UNLOAD F3 CA2 P5) [D:3.0000; C:0.1000]
 54.9000: (MOVER_FURGONETA F3 D2 CA2 E3 CIUDAD2) [D:3.0000; C:4.6667]
 57.9000: (UNLOAD F3 E3 P2) [D:3.0000; C:0.1000]
 60.9000: (LOAD T1 E3 P2) [D:3.0000; C:0.1000]
 60.9000: (MOVER_FURGONETA F3 D2 E3 A2 CIUDAD2) [D:3.0000; C:4.6667]
 63.9000: (MOVER_TREN T1 E3 E4) [D:2.5000; C:4.0000]
 63.9000: (UNLOAD F3 A2 P9) [D:4.0000; C:0.1000]
 66.4000: (UNLOAD T1 E4 P2) [D:3.0000; C:0.1000]
 66.4000: (UNLOAD T1 E4 P1) [D:2.0000; C:0.1000]
 66.4000: (LOAD T1 E4 P7) [D:2.0000; C:0.1000]
 67.9000: (MOVER_FURGONETA F3 D2 A2 E3 CIUDAD2) [D:3.0000; C:4.6667]
 68.4000: (LOAD F4 E4 P1) [D:2.0000; C:0.1000]
 69.4000: (LOAD F4 E4 P2) [D:3.0000; C:0.1000]
 69.4000: (MOVER_TREN T1 E4 E3) [D:2.5000; C:4.0000]
 71.9000: (UNLOAD T1 E3 P7) [D:2.0000; C:0.1000]
 72.4000: (MOVER_FURGONETA F4 D3 E4 CA3 CIUDAD3) [D:1.4000; C:10.0000]
 73.8000: (UNLOAD F4 CA3 P2) [D:3.0000; C:0.1000]
 73.8000: (UNLOAD F4 CA3 P1) [D:2.0000; C:0.1000]
 73.8000: (UNLOAD F4 CA3 P3) [D:4.0000; C:0.1000]
 73.8000: (UNLOAD F4 CA3 P4) [D:2.0000; C:0.1000]
 73.9000: (LOAD F3 E3 P7) [D:2.0000; C:0.1000]
 75.9000: (MOVER_FURGONETA F3 D2 E3 CA2 CIUDAD2) [D:3.0000; C:4.6667]
 78.9000: (UNLOAD F3 CA2 P7) [D:2.0000; C:0.1000]


Solution number: 4
Total time:      0.82
Search time:     0.82
Actions:         74
Execution cost:  125.77
Duration:        80.900
Plan quality:    125.767
